# Batch P001 - 90% infield / 10% talk
# Created: 2026-02-05T13:55:28Z
# Videos: 100
# Infield: 90, Talk: 10
#
# Format: source_name | video_folder_name
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame  - Part 3 - Ping Range [gy5kMYBII3E]
coach_kyle_how_to_approach_a_girl | 3 Conversation Topics That Attract ALL Women (Steal These Lines) [d8C0t7FS3qM]
coach_kyle_how_to_approach_a_girl | 3 EFFECTIVE WAYS to Approach a Girl in the Club [l5zEcgIS2Pw]
coach_kyle_how_to_approach_a_girl | 3 Easy Ways To Make Her Chase You (LIVE DEMO) [7BfD4URAD1Y]
coach_kyle_how_to_approach_a_girl | 3 Keys To Get Her Number [jl5tLCqpTNo]
coach_kyle_how_to_approach_a_girl | 3 Mistakes That Kill Your Pick Up Game❌ (Picking Up Girls) [Y9D7p8KMZek]
coach_kyle_how_to_approach_a_girl | 3 Steps To INSTANTLY Improve Your Chances With Any Woman [g35sbdbjNXw]
coach_kyle_how_to_approach_a_girl | 4 Ways To Approach a Girl You Don't Know [With Examples] [LftMFDMrfAQ]
coach_kyle_how_to_approach_a_girl | 5 Easy Steps to Turn a Hi into an INSTANT Date (LIVE DEMO) [6ImEzB6NhiI]
coach_kyle_how_to_approach_a_girl | 5 Minute Attraction HACK for Cold Approach Success! [d8H9RlGpS0g]
coach_kyle_how_to_approach_a_girl | 5 Phrases To Approach ANY woman, Anytime, Anywhere [RHfsmA7QmmQ]
coach_kyle_how_to_approach_a_girl | 5 Simple Steps to Make Your Approach More FLIRTY! [sxChP6EIJHo]
coach_kyle_how_to_approach_a_girl | 5 Small Things That Create BIG Attraction (LIVE DEMO) [SwKI2EmazhA]
coach_kyle_how_to_approach_a_girl | 5 Women, 5 Different Reactions — How to Win All of Them (LIVE DEMO) [5sTASDqe0u8]
coach_kyle_how_to_approach_a_girl | 6 Things To Never Say To Women [PLXOY9FzCx0]
coach_kyle_how_to_approach_a_girl | 6 examples of how to tease women in a flirty way [NioqePIJzN0]
coach_kyle_how_to_approach_a_girl | Afraid of talking to women？ Watch this approach [rE1b1SFoa4A]
coach_kyle_how_to_approach_a_girl | Approach ANY GIRL in Public LIKE a PRO! (INFIELD) [mv2X8Yhg9M0]
coach_kyle_how_to_approach_a_girl | Building BULLETPROOF Social Confidence (4 steps) [3JN-3IJTlEA]
coach_kyle_how_to_approach_a_girl | Can I COLD APPROACH These 2 HOT Girls？ [hllwnZLqvsE]
coach_kyle_how_to_approach_a_girl | Cold Approaching Girls： How To Deal With Resistance [7o6FNxnsAnE]
coach_kyle_how_to_approach_a_girl | Cold Approaching a HOT Girl in Miami (Can I get a date？) [pI3rYRHL4Oc]
coach_kyle_how_to_approach_a_girl | Creepy Kyle - Cringe Gym Pickup Lines｜Pt. 2｜#shorts [rwlACYYEwUY]
coach_kyle_how_to_approach_a_girl | Creepy Kyle - Pickup Artist Cringe｜Pt. 1｜#shorts [NAxBxOFNUbQ]
coach_kyle_how_to_approach_a_girl | DESTROYING all your cold approach excuses (LIVE DEMO) [X9vElD3W1jw]
coach_kyle_how_to_approach_a_girl | Do This BEFORE You Approach Any Girl At The Club! [ymthu8CgYn4]
coach_kyle_how_to_approach_a_girl | Do This If a Girl LOOKS AT YOU! (99% Of Women Want You To Do This) [fjS9eedtDrU]
coach_kyle_how_to_approach_a_girl | Do you have NICE GUY syndrome？ (Women hate this) [5NowaRBlzP8]
coach_kyle_how_to_approach_a_girl | Does Alcohol Make You Better At Picking Up Girls？ [iPBvwk5wZ5I]
coach_kyle_how_to_approach_a_girl | Does Telling a Woman She's Beautiful Actually WORK？ [-lYuaTiUWcU]
coach_kyle_how_to_approach_a_girl | EXPOSING Andrew Tate's Pick Up Advice [4eAMH1cqnUE]
coach_kyle_how_to_approach_a_girl | Easiest Way To Start More Conversations With Women [YOEP0380xD4]
coach_kyle_how_to_approach_a_girl | From DISINTEREST to Getting Her Number (LIVE DEMO) [FNpZs1VhwaA]
coach_kyle_how_to_approach_a_girl | From Instant Rejection to a 15-Minute Approach (Real Footage) [EscjHJHTuSs]
coach_kyle_how_to_approach_a_girl | Get a Date in 5 Minutes： Full Infield Interaction (Cold Approach) [e2dLEB-AwmA]
coach_kyle_how_to_approach_a_girl | He Cold Approached Kanye's Wife! (Interaction + Breakdown) [-iCf6UX3ZMg]
coach_kyle_how_to_approach_a_girl | How Average Guys Can Date STUNNING Women [QvGtRoklA3A]
coach_kyle_how_to_approach_a_girl | How NOT to Flirt With Groups of Girls (Red Flag 🚩) [YpOTPGIZwtk]
coach_kyle_how_to_approach_a_girl | How Older Guys Can Date Younger Women [vWr955SeGXs]
coach_kyle_how_to_approach_a_girl | How To Approach & Talk To Girls At Stores [rMNSFU7TyIg]
coach_kyle_how_to_approach_a_girl | How To Approach A Girl You Don't Know 🖐️ (5 Ways with Breakdown) [ndYaBU7K82o]
coach_kyle_how_to_approach_a_girl | How To Approach ANY GIRL in Public (Without Being Creepy) [yJc4Fst1LMg]
coach_kyle_how_to_approach_a_girl | How To Approach ANY GIRL in Public And Get Her Number (Step-By-Step) [QyCyJSK7IFw]
coach_kyle_how_to_approach_a_girl | How To Approach Girls With a Wingman 😈(Step By Step Masterclass) [FVOMqqNGiiY]
coach_kyle_how_to_approach_a_girl | How To Approach Girls You Don't Know (WITHOUT Getting Rejected) [n3kggZOyB3o]
coach_kyle_how_to_approach_a_girl | How To Approach Girls in Crowded Places (3-PART PIVOT) [KadgUqnXZTs]
coach_kyle_how_to_approach_a_girl | How To Approach a Girl - Use These Easy Lines (Work 99% Of The Time) [JyjkFxCTg18]
daily_evolution | #1 Communication Mistake Men Make With Women [qrnGU56V_lY]
daily_evolution | #1 KEY To Sexualizing Your Conversations [-_3ypQLrDzo]
daily_evolution | 10 Years In The Field [YEC7tyrT7ag]
daily_evolution | 10 Years In The Field by Aaron Alexander [qDQU-HKjFKM]
daily_evolution | 10 Years In The Field： My Beautiful Dark Twisted Fantasy [3JtLRzHqy8Y]
daily_evolution | 10 Years In The Field： My Legacy [JOcglovL3IA]
daily_evolution | 10 Years Of Game (My Greatest Advice) [yVbiH29D3Q0]
daily_evolution | 10 Years Of Game Wisdom [j8gzCU6jOyQ]
daily_evolution | 2018 LETS GOOOOO!!!! [xfIAI42PAaQ]
daily_evolution | 2021 Austin Summit Is Coming!!! [1kQT86DyDwI]
