# Batch P002 - 90% infield / 10% talk
# Created: 2026-02-05T13:55:28Z
# Videos: 100
# Infield: 90, Talk: 10
#
# Format: source_name | video_folder_name
coach_kyle_how_to_approach_a_girl | How To Approach a Girl In The Club 😜 (night club flirting) #shorts [r0tPDbbAa7w]
coach_kyle_how_to_approach_a_girl | How to approach any woman any time anywhere (LIVE DEMO) [pEjUOTXczm4]
coach_kyle_how_to_approach_a_girl | How to approach women in the club (Nighttime Teasing) (LIVE DEMO) [mU-EjoXxTrY]
coach_kyle_how_to_approach_a_girl | How to flirt with any girl (even as a beginner) [1oRERTLafQE]
coach_kyle_how_to_approach_a_girl | How to go From Friend Zone to Flirty Fast [GFOcI3Sni6I]
coach_kyle_how_to_approach_a_girl | How to say hi to any girl any time & get a date (easiest method) [D07piRLJvIU]
coach_kyle_how_to_approach_a_girl | I Approached an Older Woman Waiting for a Date and Got SHOCKING Results! [TDxv3HxDYHk]
coach_kyle_how_to_approach_a_girl | I Coached a Virgin to Finally Hook Up. Here’s How [HXcKUpyFA_c]
coach_kyle_how_to_approach_a_girl | I Coached an Average Man to Land 40 Dates. Here’s How [X_lqSGwlHpg]
coach_kyle_how_to_approach_a_girl | I Got REJECTED By 100 BADDIES IN MIAMI! ｜ Here's What I Learned (INFIELD) [TrYfPgzG2Gk]
coach_kyle_how_to_approach_a_girl | I Tried To ＂Cold Approach＂ For 30 Days STRAIGHT (Here's What I Learned) [QpmMHZXx_0g]
coach_kyle_how_to_approach_a_girl | I teach an average guy how to cold approach (LIVE DEMO) [0DEnRDZ-sqI]
coach_kyle_how_to_approach_a_girl | Never Make This 1 Conversation Mistake With Attractive Women [umE0hYExqF4]
coach_kyle_how_to_approach_a_girl | Rich but SINGLE？ Watch this! [v-6aibAc8eE]
coach_kyle_how_to_approach_a_girl | STOP Getting Short Answers! Try this instead [odlFMZxb-bU]
coach_kyle_how_to_approach_a_girl | STOP Making This Mistake When She Asks How Old You Are [Abyq1Zz7fmI]
coach_kyle_how_to_approach_a_girl | Safest Way To Approach Girls At Places You Frequent ✔️ [dFaAFkBdd3Q]
coach_kyle_how_to_approach_a_girl | Should You Approach Girls Like This？ (That Was Epic, I Like You Pick Up Analysis) [NGOo69aaUmc]
coach_kyle_how_to_approach_a_girl | Simple Cold Approach： Make Her Attracted in 5 Minutes [tvHA57vuHOA]
coach_kyle_how_to_approach_a_girl | Simple cold approach： Introvert to Social Confidence in 5min [efhstinc2Fo]
coach_kyle_how_to_approach_a_girl | The #1 Reason Why You're Not Getting Any Girls (When Going Out) [tRRNh6XEE0k]
coach_kyle_how_to_approach_a_girl | The 10 Laws of Cold Approaching Women [JF3jPxb1z7s]
coach_kyle_how_to_approach_a_girl | The Conversation Hook Women Can't Resist [g4A8nBsU9Fs]
coach_kyle_how_to_approach_a_girl | The ＂I have A Boyfriend＂ Excuse & How To Overcome It [cPtyw5GbG6c]
coach_kyle_how_to_approach_a_girl | This ONE Phrase Makes Any Conversation Flirty FAST [04njgij7V7w]
coach_kyle_how_to_approach_a_girl | Top 2 Mistakes Guys Make When Asking for a Number (+5 ways to fix it) [DcN6rsanf0w]
coach_kyle_how_to_approach_a_girl | Try This Easy Phrase for Better Conversations With Women! (LIVE DEMO) [IFbQThFcrg8]
coach_kyle_how_to_approach_a_girl | Watch Me Get Rejected… Twice (INFIELD) [aGAWexLePYc]
coach_kyle_how_to_approach_a_girl | What Happens When 2 Guys Approach the SAME Woman？ (LIVE DEMO) [FD6h9dzC-F8]
coach_kyle_how_to_approach_a_girl | What to say to a Woman AFTER the 1st Minute ？ (LIVE DEMO) [Q4yTHLr9LZI]
coach_kyle_how_to_approach_a_girl | What to say to a Woman in the 1st Minute ？ (LIVE DEMO) [NwsML0CZ2uo]
coach_kyle_how_to_approach_a_girl | What to say to a Woman in the 1st Minute ？ (LIVE DEMO) [kVoqRlar_FU]
coach_kyle_how_to_approach_a_girl | What to say to a Woman in the 1st Seconds？ (LIVE DEMO) [Yz1TGfAF0zc]
coach_kyle_how_to_approach_a_girl | What to say to a Woman when she's with friends？ (LIVE DEMO) [7taia9-erqA]
coach_kyle_how_to_approach_a_girl | When You Understand This, PICKING UP GIRLS Becomes Easy! [Gw3o_GXR4EI]
coach_kyle_how_to_approach_a_girl | Why She Never Responds After Getting Her Number？ [g0aE4mO24IY]
coach_kyle_how_to_approach_a_girl | Why Your Cold Approach Isn't Working and How to Fix It Now [9tOY-lqivmE]
coach_kyle_how_to_approach_a_girl | Will I Get REJECTED by These 2 HOT Girls？ [tgsG7Y-FXWI]
coach_kyle_how_to_approach_a_girl | Will I Get REJECTED by This Cute Woman？ [cZhWRgTVM8A]
coach_kyle_how_to_approach_a_girl | Women WANT to be approached, just not how YOU do it [YqjurCgoWro]
coach_kyle_how_to_approach_a_girl | Younger Women HATE When “Older Guys” Do This (6 UNATTRACTIVE Mistakes) [Ih8JD8HcLT8]
coach_kyle_how_to_approach_a_girl | why your small talk is boring (4 EASY FIXES) [pHXV1XQr7W0]
coach_kyle_infield | Drake Goes Man-To-Woman On Jessie Reyez!! (Interaction + Breakdown) [5gfclo7crNI]
coach_kyle_infield | Infield [PLpp1UUwZH-KpdTjXwD8ZHlcO3-OE8hRUj]
coach_kyle_infield | Simple cold approach： USE THESE EASY LINES to 10x dates [neZv2hbkABQ]
coach_kyle_infield | What Happens When You Talk To Girls After Working Out？ (Infield) [u2R8_rF_j2s]
coach_kyle_infield | What To Do When A Girl Looks At You 👀#shorts [h1-ySXfRbLY]
coach_kyle_infield | When The Vibe Starts Fading Away...Do This! [6AORxTf8StM]
natural_lifestyles_meetingGirlsIRL | Challenging a 23yo Model - Street Pickup Competition (Who Gets More Dates in 1hr？) [B1UR8q_Dlpo]
natural_lifestyles_meetingGirlsIRL | Did You Get Enough Dates In 2023？ Last Chance To Train w⧸ James Marshall [2OKP8HmkhlM]
natural_lifestyles_meetingGirlsIRL | Escaped Mental Ward, Picked Up Serbian Model (Getting Dates By Being Crazy & Fun) [g3mJnwBcMaI]
natural_lifestyles_meetingGirlsIRL | How To Be Persistent with Women Without Being A Creep [YEOgoofhe-8]
natural_lifestyles_meetingGirlsIRL | How to Make Conversations Sexual without being Creepy [J02LapVhOyM]
natural_lifestyles_meetingGirlsIRL | How to Pick Up Hippie Girls (As an analytical guy) [2h9wq53QIQk]
natural_lifestyles_meetingGirlsIRL | How to get Rejected like a BOSS - James Marshall Infield [WSFSpbFCPZo]
natural_lifestyles_meetingGirlsIRL | I picked up a curvy Irish tourist in 5 minutes - How to get fast holiday hookups [N2UbTTfCfqg]
natural_lifestyles_meetingGirlsIRL | James Marshall picks up 3 shy girls (how to relax, connect & seduce them) [IS2SoUgqDLE]
natural_lifestyles_meetingGirlsIRL | Meeting Girls in Real Life [PLtfVGUer52V7lhPcOPFyr1n1cCBeXIB3z]
natural_lifestyles_meetingGirlsIRL | Picking Up 3 Girls In 10 minutes (the busy man’s dating method) [KtmnHDVbmss]
natural_lifestyles_meetingGirlsIRL | Psychedelic Farmer chats up Barcelona Ladies (How to get Dates this Summer w⧸ James Marshall) [LCkyC_QKIJE]
natural_lifestyles_meetingGirlsIRL | Seducing A Fitness Model (Getting Through Rejections To Find Your Dream Girl) [jdDdgzdFPfs]
natural_lifestyles_meetingGirlsIRL | She Just Left Her Husband – Here’s How I Got Her Number (LIVE Infield Analysis) [kyBKT_uIREA]
natural_lifestyles_meetingGirlsIRL | She’s marrying a millionaire, I pick her up anyway [NZk0SPu3HXM]
natural_lifestyles_meetingGirlsIRL | The LAZY, No Stress Way To Meet Hot women this summer (Without Apps, Or Going To Clubs) [O8NfU3bgs6s]
natural_lifestyles_meetingGirlsIRL | Where To Meet “Wife Material” Women [1ok1oovp0K0]
natural_lifestyles_meetingGirlsIRL | Who Wins at Street Pickup？ Pro Dating Coach or Hot Model？ (1hr Challenge) [VGgtgzrkRTo]
natural_lifestyles_meetingGirlsIRL | ”You’re Too Old For Me…” - How To Overcome Age Objections In Your 30s & 40s (+ Live demo) [CTfDIHi91uk]
natural_lifestyles_meetingGirlsIRL | ＂Approaching women just leads to rejection” - 7 Excuses That Ruin Your Dating Life [gJy-_c_zwN4]
natural_lifestyles_meetingGirlsIRL | ＂You're so adorable＂ How I Seduced a Shy Artsy Girl (James Marshall 2025 Infield) [03m9yo-ikPc]
austen_summers_client_results | 1-on-1 Bootcamp Testimonial [WgPkSUjFsCw]
austen_summers_client_results | 10x My Laycount with Austen Summers Academy [CAyMs19EYrw]
austen_summers_client_results | 2 Week Immersion Testimonial - JP [eCWdmkvNrO0]
austen_summers_client_results | 5 Dates by 2nd Week - Graham Academy Testimonial [863IDsEeHKU]
daily_evolution | 2021 Miami Summit Announcement [sDdJ1Fi6iXY]
daily_evolution | 2025 IS YOUR YEAR!!!! [EdcPkeELE_s]
daily_evolution | 27 Minutes To Become Unrecognizable In 27 Days [V63ND9N6gvk]
daily_evolution | 290 Pound Man Child Reaches His Breaking Point [qR7bHW8EoaE]
daily_evolution | 3 Cheap Date Ideas [xzjmuWPpRzY]
daily_evolution | 3 Elite Level Nightgame Openers [fv2m34GeheE]
daily_evolution | 3 First Date Tips [0R_umfUObSQ]
daily_evolution | 3 MINDSETS FOR DATING [vNrixMbimG0]
daily_evolution | 3 Things NOT To Do On A Date [g5jPNbWcqGM]
daily_evolution | 3 Years Shooting Testosterone - Magic Pill？ [xQJqZ6K9_1g]
