# Batch P005 -
# Created: 2026-02-06T20:01:54Z
# Videos: 100
# Estimated infield: 100/100
#
# Format: source_name | video_folder_name
daily_evolution | How To Get In State Fast For Pickup! 3 Steps! [2RKCNz3_KGo]
daily_evolution | Nightgame Infield Hot Blondie [KJvDHeETu-Q]
daily_evolution | Nightgame Makeout Infield 🤯 [kyDnVxrYxFc]
daily_evolution | Nightgame Pickup ALONE!!! (SOLO GAME ADVICE) [YxCdc5sbBPM]
daily_evolution | Nightgame Pulling INSANE Advice [L1rDZzRiZ3U]
daily_evolution | Normal Guy Game + Daygame Infield + The Wantrepreneur Virus [keo4pM_QFus]
daily_evolution | Not Approaching Cause People Are Watching？ [EyWMd2XjMRg]
daily_evolution | Overcome Pulling Objections MASTERCLASS [RSNkIX4bhMA]
daily_evolution | PICK UP INFIELD + Daygame Approaching a Group of Girls [jNLFN9Ys4ok]
daily_evolution | PICKUP BEGINNERS MINDSET (MUST WATCH) [E3iV53ysLIs]
daily_evolution | PICKUP INFIELD Daygame Girl With Boyfriend At Target [6_SaAVJP9Ps]
daily_evolution | PICKUP IS A HOBBY - THE BEST ONE [2JD62Cffd_M]
daily_evolution | PICKUP PRO TIP： Make Her Physically Invest [-vjD2Aiccgc]
daily_evolution | PICKUP SUCCESS #82 The Evolution Daily Podcast [NMTdqeZlmUk]
daily_evolution | POV Infield Coffee Shop Cutie [r5uhRWAVE50]
daily_evolution | PUA Masterclass： Approaching Two-Sets [C1Vo1tLciAo]
daily_evolution | Pick Up 10X The Girls In Your City By PLANTING SEEDS! [rRU46cDXugc]
daily_evolution | Picking Up 10⧸10 Australian Girl [ Daygame Infield ] [LP4yPM7n5FE]
daily_evolution | Picking Up 10⧸10 Black Model At Grocery Store (Daygame Infield) [QQAPxu7t8pc]
daily_evolution | Picking Up 3 Girls [ Daygame Infield ] [yrgCgJUhPrU]
daily_evolution | Picking Up Cute Latina [ Raw Daygame Infield Pickup ] [H-qhOWc5NGo]
daily_evolution | Picking Up Cutie On The Street #dating #pickup #clips [9ZmB6coJSdk]
daily_evolution | Picking Up Hot Hippie Girl  [Daygame Infield] [IswneeXy_yY]
daily_evolution | Picking Up Hot Latina (Daygame Infield BRAND NEW 2021) [eFmMa8svM70]
daily_evolution | Picking Up Hot Latina With Dumbest Pickup Line Ever [yqMxhgWWaFk]
daily_evolution | Picking Up Smoking Hot Blonde Chick [NIGHTGAME INFIELD] [arpG2y0VtKk]
daily_evolution | Pickup & Social Circle Roundtable [kwRmem4AYt4]
