# Batch QUALITY-TEST.4 (QT4) — 100 fresh videos, infield-focused, split across channels
# Created: 2026-06-24. 0 overlap w/ QT1/QT2/QT3 or any prior stage-02 attempt.
# Selection: 87 daily_evolution (all literal 'INFIELD' titles) + 13 infield-leaning from other channels
# (Dedicated infield channels playing_with_fire/coach_kyle_infield/austen_meets/NL_meetingGirlsIRL fully consumed by QT1-3.)
# Videos: 100
#
TODD_V_OPENING | The Opening Series -- Part 1： Direct Approach & Tonality [-6V-G1CE1xc]
daily_evolution | Do You HATE Approaching？ Here's How To Fix It (+Daygame Infield) [SgMcVhC4Oi8]
daily_evolution | INFIELD + DAYGAME Stealing Cutie From Soldier Boyfriend [SnzpDLBF0y0]
daily_evolution | How To Pick Up A Girl At Work INFIELD + DAYGAME [UN6sq9QQTfU]
daily_evolution | Do You Think I'm Ugly？ [Daygame Infield] [Udfxdrjunl8]
daily_evolution | Student Daygame Infield ｜ Pickup Girls During The Day [W6ZNZiwvRGY]
daily_evolution | Daygame Infield That Will Shake You To Your Core 🤯 [WFPURH2z6N8]
daily_evolution | Infield Pick Up ｜ RAW UNEDITED [YMuLZZad0u8]
daily_evolution | UPDATES： BOOTCAMPS INFIELD DOGS [Yu9nVfq8Kk8]
daily_evolution | Treat Game As A Hobby [+Infield] [ZjD8D8m_92A]
daily_evolution | INFIELD + Daygame Pickup WINDOW GAME! [_Hv9K0sjjws]
daily_evolution | How To Pickup Girls When Your Game Sucks + Daygame Infield [_bRqAjMlCKs]
daily_evolution | INFIELD + Daygame Picking Up French Girl In The Mall [_me7IFHmDr4]
daily_evolution | INFIELD + Daygame Picking Up Miami Babe & Her Mom [a3wK21c3QwQ]
daily_evolution | INFIELD + Hot Asian In Grocery Store! [aE6lcJlTzpk]
daily_evolution | Picking Up Smoking Hot Blonde Chick [NIGHTGAME INFIELD] [arpG2y0VtKk]
daily_evolution | Pickup Girls At The Grocery Store Easy Guide (+Infield) [bW4c0uaUhB4]
daily_evolution | Infield Pickup ｜ Daygame Breakdown [cMmtGVn9eNM]
daily_evolution | Infield Daygame Miami Beach + Aggressiveness + Pickup [eCVTnPVg0ls]
daily_evolution | SOLID Daygame Pickup Infield [evz4FOeW1N8]
daily_evolution | INFIELD + Daygame Cutie With Headphones Tells Me She Has A Boyfriend [fFq5RzV_46o]
daily_evolution | Remarkable Daygame Infield With DEEP Tactical Training [fNl30KAQJDA]
daily_evolution | How To Bounce Back From Hardships + INFIELD CLIPS ｜ Inner Game Training Series 2⧸5 [fzsQnguANcI]
daily_evolution | Infield Breakdown ｜ Daygame Tactics [g_MgNnM75x0]
daily_evolution | completely waste your time doing pickup (+Infield) [gfpchcllcrs]
daily_evolution | NEW Daygame Infield Breakdown - Hot Blondie [grRDn0C7JVw]
daily_evolution | Night Game Infield Pickup ｜ Opening Two Sets FULL BREAKDOWN [iIdwb84qwSI]
daily_evolution | PICK UP INFIELD + Daygame Approaching a Group of Girls [jNLFN9Ys4ok]
daily_evolution | Normal Guy Game + Daygame Infield + The Wantrepreneur Virus [keo4pM_QFus]
daily_evolution | Legendary Daygame Pickup ｜ Infield Breakdown [ks-om11lHuY]
daily_evolution | Infield + Daygame Aaron Makes A Friend [kuFNfPXgQGI]
daily_evolution | Nightgame Makeout Infield 🤯 [kyDnVxrYxFc]
daily_evolution | Instant Date Daygame Infield [lAuvScVel88]
daily_evolution | Is Making Out Ruining Your Game？ [+INFIELD MAKEOUT] [mD1A2Jgargo]
daily_evolution | Pickup Infield ｜ Daygame Girl With Boyfriend Likes My Swagger [mD5WhtfIYQ8]
daily_evolution | Daygame Student Infield + Daygame Approach KEY LESSON! [mn2xfgtcQZM]
daily_evolution | Get Any Girls Number With These 3 Steps (+Daygame Infield) [nYS4TfHVFy4]
daily_evolution | hot girls hate this approach 😖 (+daygame infield) [pPSIJ90s75w]
daily_evolution | Pickup Infield (Easy And Fun) [pT7OxhR8Axw]
daily_evolution | London Daygame Infield Preview!？!？ [psOSQHkeRqs]
daily_evolution | INFIELD GOD RUNS DAYGAME PICKUP IN THE DARK [quLKrh-Abl0]
daily_evolution | POV Infield Coffee Shop Cutie [r5uhRWAVE50]
daily_evolution | Natural Daygame Pickup Infield With Shy Blonde [uJxM1CeKaBc]
daily_evolution | Sweet Angel Loves My Direct Opener 🥰 (+Daygame Infield) [vbJ3eOJrzmM]
daily_evolution | Night Game Infield ｜ Adapt Your Character! [vpCh1gX2rg4]
daily_evolution | Instant Date With A Perfect 10 [ Daygame Infield ] [w47J54Tz_NY]
daily_evolution | How To Pickup Girls At The Grocery Store - Pickup Infield Breakdown [xMV7ix1r-ak]
