# Batch P014 -
# Created: 2026-02-06T20:12:43Z
# Videos: 91
# Estimated infield: 8/91
#
# Format: source_name | video_folder_name
daily_evolution | When Her Boyfriend Comes Up [dzqgXqTvXmQ]
daily_evolution | Work Mode To Social Mode In The Snap Of A Finger [tHFExXSRViQ]
daily_evolution | YOU CAN'T BE FAT 🍔 [mXYnruG4Vy8]
daily_evolution | YOU DISAPPOINT ME!!!! [k5g4EIcjWmk]
daily_evolution | YOU MUST BE DRIPPED OUT 💧 [4XZ-bFmA-yQ]
daily_evolution | You Are Being Hypnotized! 😵‍💫 [0jhWms2hGY8]
daily_evolution | You Are NOT ENOUGH! 🚨 [EVy710VEgUs]
daily_evolution | You Become Your Focus Episode #48 of The Aaron Alexander Experience Podcast [MLJpBp2G7NM]
daily_evolution | You Don’t Have What It Takes [5KbFYro4yFk]
daily_evolution | You Have To Be Willing To Be BAD At Game! [9mqP542q5GY]
daily_evolution | You Have To Become Better Than Other Men In Order To Be Happy [IoC28Dr5REs]
daily_evolution | You Have To Love Women In Order To Connect With Them [PGzmincTsWk]
daily_evolution | You NEED To Understand Female Nature [0shPwFu2Lzk]
daily_evolution | You're DOOMED To Be An Incel #85 Evolution Daily Podcast [7fu1ledBFsY]
daily_evolution | You're Not Putting In The Work [dl2csb1iuoQ]
daily_evolution | You're WEIRD & Deserve To Get Rejected [CgweCi06ckU]
daily_evolution | Your Failure Is Your Success [aWCR1yH1plE]
daily_evolution | Your Haters Are Complete Losers [wc4cgImwW0o]
daily_evolution | Your Lizard Brain Wants To Keep Your POOR [QXPXIALJW18]
daily_evolution | Your Next 3 Months： Heaven or Hell 😤 [mJXtDzNkqPQ]
daily_evolution | Your Path To Women, Money, and Happiness [713vwQeZOPo]
daily_evolution | Your Phone Is Killing Your Seduction [i8GJSOLLPc0]
daily_evolution | Your Vibe Is Cooked! 👨‍🍳 [JEdCoVuTtWY]
daily_evolution | You’re A Lazy Slob [5ltBwMv9Ep4]
daily_evolution | a manic episode. [P4eKTw5ldAQ]
daily_evolution | are you cooked？ take this quiz [BSVJPG-DE7Y]
daily_evolution | could success be easier than you think？ [e3KBhFF5m-g]
daily_evolution | get this BBC 🤯 [tAA1zeo3ehI]
daily_evolution | i threw a drug addict out of BW3s [r8Tk7ggnoAk]
daily_evolution | im gonna coach you for free for a month [QxU_MnO7dWw]
daily_evolution | looksmaxxx or youre cooked [urEaZB1GWck]
daily_evolution | must watch if you got the black friday offer [Acg_UW5KCO0]
daily_evolution | sloppy from a mid who loves you [dnkfZjHhixM]
daily_evolution | stray bullet hits you in the neck [TcUKm5LAWYU]
daily_evolution | thicc latina bouncing on it heals you [kBAq3u5wsds]
daily_evolution | wOuLd yOu dAtE mE!？ [MP_rKd2zF1Y]
daily_evolution | you will not get married [SyiK6ypw-B0]
daily_evolution | your life begins 3 years from now [2gXzW72M4NE]
daily_evolution | youtube deleting my channel [mNv6mdNtIX8]
daily_evolution | ＂WOMEN WANT TO HAVE SEX WITH ME＂ [6tXvRtpmXnw]
daily_evolution | ＂Why Don’t Women Like Me？＂ [P-tdwKK2mAk]
daily_evolution | 🔴LIVE： Inner Game Core Concept #1 [3yfCtQv__68]
daily_evolution | 🚨🚨🚨 NYC & Los Angeles In July [c7oHtvpXWJo]
social_stoic | How To ACTUALLY Flirt With Women + Real Life Examples [UmhMBv40HU8]
social_stoic | How To Safely Meet & Date Women In Bogotá Colombia + Travel Guide 🇨🇴 [YPycL-qJrA0]
social_stoic | How To Stop Girls Flaking On You (Text Examples) [wJXy03Z9wts]
social_stoic | How to Kiss Her on the First Date (Demonstrated) [Sgmag7jO2y0]
social_stoic | How to Respond to a Dismissive Woman (Shit Test) [n6Tnx7GHXtE]
social_stoic | Never Run Out of Things to Say to Women Again! [8J_TuB6GwlI]
social_stoic | Yes Man vs. Disagreeable Man： Who Gets More Girls？ (Real Life Test) [sNnxXLr-VOQ]
TODD_V | 00. Todd V - Why Daygame Is BEST？ [kNQ3yfxCRYI]
TODD_V | 01.1 Todd V - Distinction Between Daygame And Nightgame - How To Be A Badass Daygamer？ [Sjcgqbd_WJM]
TODD_V | 01.2 Todd V - Distinction Between Daygame And Nightgame - Having An Overall Successful Daygame Plan [sbJI2FpBR0M]
TODD_V_THESYSTEM | How To Flirt： 3 Easy Techniques (+INFIELD VIDEO) [t8Q9rg8HjDE]
TODD_V_THESYSTEM | My EASY Step-by-Step System for Getting The Girl (+infield) [OpmAWcMtBFw]
TODD_V_THESYSTEM | Why Cold Approach Is A Cheat Code [fyZX59nYiC0]
TODD_V_THESYSTEM | Why You Get Rejected (+Student Infield) [VGuAGRORK68]
TODD_V_WINNERGAME | Approach Pessimism -- The Biggest Opening Mistake In Game [050mAG7O4LY]
