# Batch P006 -
# Created: 2026-02-06T20:01:54Z
# Videos: 100
# Estimated infield: 100/100
#
# Format: source_name | video_folder_name
daily_evolution | Pickup Abundance Struggle BRAIN DUMP #99 Evolution Daily Podcast [L2EDvmNizJs]
daily_evolution | hot girls hate this approach 😖 (+daygame infield) [pPSIJ90s75w]
daily_evolution | sunday sermon - manifesting women with pickup [-bdGi4QThhU]
daily_evolution | women are begging you to approach them [q4qimFk4-bY]
social_stoic | Are You Making THIS Mistake When Approaching Women？ (Infield Examples) [pfmZ69WGysA]
social_stoic | Cold Approaching Girls in Prague (Infields) [A6dFLFMNK_I]
social_stoic | Crazy Pickup Lines That Actually WORKED (Infield Breakdown) [JYzJLfBi4R0]
social_stoic | Do Absurd Pick-Up Lines Actually Work？ (Infields) [-CZtcqqEDdk]
social_stoic | Do THIS To 10x Your Results With Women (Infield Examples) [XOS_kGpXl0U]
social_stoic | Flirt Like This or Stay Friendzoned Forever (Infield Proof) [s4aUoByxPfU]
social_stoic | He Approached 950 Women in 1 Month! (+ Infield) [p8NGf6VWOfo]
social_stoic | How To Approach ANY Girl in Public (Without Being Scared) [A-gUGrsvkKY]
social_stoic | How To Approach Groups Of Girls (The Complete Guide) [G2sWa8X0EjA]
social_stoic | How To Approach Hot Women (Infield Examples) [Sz1f6OiO5Ko]
social_stoic | How To Create Sexual Spark in 60 Seconds (Infield Examples) [OteE5cgUSOk]
social_stoic | How To Make Any Boring Conversation Flirty (Infield Examples) [lSXqK_zSgNU]
social_stoic | How To Pick Up 9s and 10s (Infield Example) [H-_FULmTJXc]
social_stoic | How To Turn Small Talk into Deep Connection (Daygame Coaching Infield) [DPieYj7nji0]
social_stoic | How to Approach a Hot Girl & Get a Date (Infield) [9qhNfnXSIVg]
social_stoic | How to Approach and Vibe with Women (Infield) [kVNih9mOvsE]
social_stoic | How to Flirt with Girls Who Have Boyfriends (Infield Examples) [UKytjD6YvNk]
social_stoic | How to Get Instant Dates (Infield Examples) [ot43mkbGclQ]
social_stoic | How to Get a Same-Day Date (Infield Breakdown) [yYyNPRIcUm4]
social_stoic | How to Pick Up a Group of Girls (Infield) [vBhN49LSyz4]
social_stoic | How to Pick Up an Arrogant Woman (Infield) [gISxAc0Zvtw]
social_stoic | I Got Flirty Fast with a Hot Blonde (Uncut Infield) [9tcvr26JP10]
