# Batch P016 - Previously missing videos
# Created: 2026-02-09
# Videos: 100
#
# Format: source_name | video_folder_name
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #3 - Gutter Game in Warsaw [2RZKlRFw2EE]
TODD_V_CONVERSATION_TOPICS | The Silent Power of Narrative to Get Her Chasing [81e3bkP7Ezk]
TODD_V_CONVERSATION_TOPICS | Validation -- The Missing Piece In Modern Game [RUYTIHIO3F4]
TODD_V_CONVERSATION_TOPICS | What Messi Taught Me About Women and Game [Fo_I9V5VXBU]
TODD_V_CONVERSATION_TOPICS | Why Girls Love Low-Energy “Introvert” Game + (Infield Video) [oZyuJHgeKBs]
TODD_V_CONVERSATION_TOPICS | Why Learning Game Is Hard -- Two Ways Your Experience ＂Tricks＂ You [8Z6HVIrgL5A]
TODD_V_CONVERSATION_TOPICS | Why You Get Rejected (+Student Infield) [VGuAGRORK68]
TODD_V_CONVERSATION_TOPICS | Words That Get Me Laid [jU8c-XWpgsc]
TODD_V_OPENING | Approach Pessimism -- The Biggest Opening Mistake In Game [050mAG7O4LY]
TODD_V_TRUTH | 7 Reasons Why Flash Game Is Killing You [xzuEmYkgDxE]
TODD_V_TRUTH | Beware Of Following Gurus -- The Dangers Of The Halo Effect [DmW8SMF9xlE]
TODD_V_TRUTH | Do Game You Can Be Proud Of -- Good Vs Bad Social Conditioning [heYmMHTcN9g]
TODD_V_TRUTH | Pickup Lines vs. ＂Just Be Yourself＂ [a3ol94k8PtQ]
TODD_V_TRUTH | The Outer Game of Inner Game [u_AhhQVhJco]
TODD_V_TRUTH | The Unfiltered Truth About Dating Models [mSDp-30BUTM]
TODD_V_TRUTH | What Women REALLY Want - The Truth About Female Psychology [kIn56zOTMKM]
TODD_V_TRUTH | What is the whole truth？ [w4k7y5HP-Lk]
TODD_V_TRUTH | Why Cold Approach Is A Cheat Code [kEAQ8dB4_R4]
TODD_V_TRUTH | Why Girls Love Low-Energy “Introvert” Game + (Infield Video) [oZyuJHgeKBs]
TODD_V_TRUTH | Why I Hate Self Help [7Rsvb18GepU]
TODD_V_TRUTH | Why ＂Showing Intent＂ Is Ruining Your Game [UQGBDNdlU3I]
TODD_V_VERBAL_GAME | How To Flirt： 3 Easy Techniques (+INFIELD VIDEO) [t8Q9rg8HjDE]
TODD_V_WINNERGAME | Winner Game [PL76nuCstxs7hkFTVNdailtYe1iPyrD-Su]
austen_summers_client_results | 100 Approaches Done - Immersion Results [10n12ELi81g]
austen_summers_client_results | 37yo Divorced Guy Closes 21yo Woman and Levels Up Skills for a Lifetime - Immersion Results [ljEabhFQydA]
austen_summers_client_results | 5 Instadates in One Day! [wyZg2cph-vE]
austen_summers_client_results | Became More Fun, Outgoing, Gave Less of a F＊＊＊ - Immersion Results [wvDKU5P1s58]
austen_summers_client_results | Bringing Out New Sides Of Myself I Didn't Know Existed - Immersion Results [dmsus9VLFGE]
austen_summers_client_results | Client Results [PLUgGv97CRhXOPJUQ_ff1HND77kGlEAf7G]
austen_summers_client_results | First Daygame Pull - Immersion Results [87IQDbipw2o]
austen_summers_client_results | First Night Was the Best Night of My Life - Immersion Results [PyK3K0ES5VM]
austen_summers_client_results | From Breakup Blues to 3 DATES A WEEK! - Immersion Results [923T6LgHi0g]
austen_summers_client_results | From No Results to Dating French Girls and Strippers - Mentorship Results [SjmoqWlFk2w]
austen_summers_client_results | I Got My First Instadate! - Immersion Testimonial [h10F7IG1Tgg]
austen_summers_client_results | I Was Surprised How Quickly It Worked - Immersion Results [xfVhG9qwB38]
austen_summers_client_results | Indian Student Closes Hot White Girl on Second Night - Immersion Results [-ikIGcSYqWo]
austen_summers_client_results | Lonely to Lothario - Lawrence Academy Mentorship Results [2Blck-axbvA]
austen_summers_client_results | Multiple Dates Scheduled in First Hour - Immersion Testimonial [mBYkxi7cDlE]
austen_summers_client_results | Picking Up Girls in Barcelona  ｜  Immersion Documentary [iOSpNACA9VI]
austen_summers_client_results | Pulled a Published Model and Got Brothers for Life - Immersion Testimonial [NMv1_K1yxkA]
austen_summers_client_results | Pulled and Closed Two Girls - ＂Everything You Need Is Here＂ - Immersion Testimonial [Fg7YwHgylyk]
austen_summers_client_results | Sergio Academy Mentorship Testimonial [HCebML9-vIQ]
austen_summers_client_results | The Footage Was Very Powerful; I Finally Realized Women Want Me - Immersion Testimonial [1VOlZ9jyGQA]
austen_summers_client_results | You Truly Become a Different Person - Immersion Testimonial [tbQlhVfilyE]
austen_summers_client_results | ＂I Now Have the Skill to Meet Women＂ - Immersion Results [HC5U8GWQCyA]
austen_summers_meets_girls | Austen Summers Meets Girls [PLUgGv97CRhXM9qdxj2oJp8eyPBQ5SSD2s]
coach_kyle_deep_videos | 3 Conversation Topics That Attract ALL Women (Steal These Lines) [d8C0t7FS3qM]
coach_kyle_deep_videos | 3 Ways To SHOW INTENT Without Being Creepy  (Steal My Flirting Lines) [U1YVB8nXSiE]
coach_kyle_deep_videos | 5 Reasons You're Still Single (That Have Nothing To Do With Your Looks) [JdReE9lr6-4]
coach_kyle_deep_videos | 6 Micro-Signs That She Likes You (How to Read a Girls Body Language) [ycQSd_A6YWM]
coach_kyle_deep_videos | COACH KYLE AUDIOBOOK： From shy kid to confident dating coach [K6nTdADEeWs]
coach_kyle_deep_videos | House Party & Social Circle Game [RFC1DMQwYas]
coach_kyle_deep_videos | How To Approach ANY GIRL in Public And Get Her Number (Step-By-Step) [QyCyJSK7IFw]
coach_kyle_deep_videos | How To Approach Girls With a Wingman 😈(Step By Step Masterclass) [FVOMqqNGiiY]
coach_kyle_deep_videos | How To Ask Her Out On The Phone 💑 (how to talk to girls on the phone) [qCyLSHnB0oc]
coach_kyle_deep_videos | How To Become ＂The Guy＂ In Any Venue That You Frequent [i5ED74iA_1Q]
coach_kyle_deep_videos | How To Create An Epic Lifestyle (Live Like The 0.001%) [1SvWD7o0ZLQ]
coach_kyle_deep_videos | How To Make Your First Date Fun And Easy [KxlvKDhXpcc]
coach_kyle_deep_videos | How To Meet Hot Women Daily (Even If You're Busy) [DKtfuRpDVDk]
coach_kyle_deep_videos | How to bring women home (FULL GUIDE) [idFaRpqI27I]
coach_kyle_deep_videos | IN DEPTH VIDEOS [PLpp1UUwZH-Kp10APCSaO_7kycD_AdMuLT]
coach_kyle_deep_videos | Meet MORE Women & Make Friends with this STEP-BY-STEP PROCESS (FULL GUIDE) [EW3U6mrNCWc]
coach_kyle_deep_videos | Meet Women At The Gym, School, Work (FULL GUIDE) [NkE55IWlRsU]
coach_kyle_deep_videos | The Perfect First Date - LIVE Tutorial - (Step By Step) [3rCy_uWmckk]
